Actions,%,Total
2023-01-13T14:24:48Z       DBRE       60       trabalho em equipe       criticidade       Tô baum       coleta de dados,2.50%,1
2023-01-13T14:25:08Z       DBRe       90       FOi entrega demandas que resultarão em redução de custos para a Take.       Redução dos custos de ambientes que estão com um tier muito alto.       Tô baum       Tivemos uma boa iteração com entregas ótimas.,2.50%,1
2023-01-13T14:27:08Z       DBRE       100       Planejamento das entregas de 2023. Execução da primeira auditoria interna com time Take.       Trouxemos a árvore de oportunidades do time e os projetos para dentro de um planejamento.       Tô baum       Estou bem com sentimento de dever cumprido.,2.50%,1
2023-01-13T16:58:07Z       Watchdog       75       resolução de problemas       organizar melhor nosso processos e quebras mais os objetivos       O momentim marromeno       Não consegui dar muito sequência nos projetos devido a incidentes e outras demandas que chegaram,2.50%,1
2023-01-13T16:58:22Z       Watchdog       50       Melhorias no grafana       Administração do tempo       Atolado no barro       Números de demandas X Tarefas e incidentes,2.50%,1
2023-01-13T17:51:44Z       SRE       90       Qualidade na entrega e compromisso de entrega dentro do prazo       alinhamento previo mais aprofundado do assunto       Tô baum       Deu pra entregar e ajudar o time dentro do esperado,2.50%,1
2023-01-13T17:52:13Z       SRE       80       trabalho em equipe       trabalho fora do horario       O momentim marromeno       crises,2.50%,1
2023-01-13T17:52:24Z       SRE       80       Conseguir entregar o PBI planejado porem surgiram muitos SRs muita coisa que parecia ser simples acabou demandando mais tempo que o "planejado"       dificil pensar em uma solução para os SRs porque geralmente surgem durante a semana e nem sempre vem bem explicados...       Tô baum       no final da semana conseguimos entregar o planejado porem demandou tempo para o sr,2.50%,1
2023-01-13T17:52:55Z       SRE       30       Apoio do time       Melhor ajuste dos cards das features       Atolado no barro       Porque estou tendo problemas com o meu computador,2.50%,1
2023-01-13T18:51:18Z       Cops       90       Foco       Diminuir reuniões       O momentim marromeno       Muitas demandas prioritarias,2.50%,1
2023-01-13T18:51:40Z       Cops       60       Várias demandas entregues       Gestão de novos SR abertos       To baum dimais da conta!       A semana foi produtiva mas sem estresse,2.50%,1
2023-01-13T18:51:51Z       Cops       80       entrega de feature em um bom tempo no backlog       não vejo nesta semana       Tô baum       to baum kkk,2.50%,1
2023-01-13T18:52:10Z       Cops       80       Muito aprendizado e muito desafio com as demandas de Devops/SRE       Ler mais documentação        Tô baum       Perguntas Rapidas e efetivas,2.50%,1
2023-01-13T18:53:12Z       COPS       80       apoio da equipe para resolver os problemas       mais agilidade nas respostas       Tô baum       tranquilo,2.50%,1
2023-01-13T18:53:19Z       Cops       75       organização construção de novos conceitos novos padrões       organização documentação padronização       Atolado no barro       é uma construção de novos padroes já fui e voltei nos conceitos algumas vezes,2.50%,1
2023-01-13T18:53:27Z       Cops       82       Entregas sobre corte de gastos       Comunicação do time       O momentim marromeno       Um pouco com medo mas parece ir caminhando,2.50%,1
2023-01-13T18:53:38Z       Cops       70       cooperação       tempo       O momentim marromeno       Queria fazer as coisas mais rapidamente,2.50%,1
2023-01-13T20:23:38Z       General Support       95       - Entrega de análise de dados para melhorias no Data extractor
- Acompanhamento próximo das squads removendo impedimentos
- Melhor acompanhamento das insatisfações geradas nos tickets       - Revisitar mais as filas
- Estar mais presente na call do time       Tô baum       Estou indo muito bem mas preciso me atentar aos pontos de melhoria,2.50%,1
2023-01-13T20:27:41Z       General Support       80       Essa última semana tive que me dedicar mais operacionalmente do que na gestão devido a eventos e situações pouco frequentes como: aumento do volume de tickets tendo que mexer nos times para adaptar os recursos à demanda.
Situações de segurança e adequações a novos processos e tomadas de decisão de outras áreas. Reuniões frequentes com outras áreas. Todas os esforços e gestões mais orientadas a soluções paliativas e objetivas. Em resumo foi uma semana mais operacional.       Melhor condução do tempo para não esquecer outras tarefas de valor.        Tô baum       Acredito que ainda assim consigo identificar as prioridades. O fato de priorizar outros assuntos mais importantes quer dizer que posso deixar alguns outros de lado por enquanto sem esquecer os de valor.,2.50%,1
2023-01-12T14:55:36Z       Pesquisa       70       Comunicação       Planejamento       To baum dimais da conta!       Apesar de termos uma comunicação boa precisamos planejar um pouco melhor nossas tarefas.,2.50%,1
2023-01-11T17:39:24Z       Evolution       10       😊       🤨🤨       To baum dimais da conta!       🙂,2.50%,1
2023-01-11T17:39:32Z       Moon       85       engajamento da equipe       planejamento inicial       To baum dimais da conta!       O time amadureceu bastante nesse ultimo ano. Estou feliz,2.50%,1
2023-01-11T17:40:02Z       Rocket       90       Dedicação do time e alta capacidade de entrega       Mais colaboração em atividades travadas       To baum dimais da conta!       Muito feliz com os resultados alcançados,2.50%,1
2023-01-11T17:40:06Z       Consulting       80       Adaptabilidade dentre os problemas       Organização de tempo       Tô baum       Tudo dando certo e se ajustando,2.50%,1
2023-01-11T17:42:14Z       Automations       70       Entrega de desenvolvimento no Capivos       Interação entre os novos desenvolvedores       Tô baum       Chegada de novos membros e passagem de contexto.,2.50%,1
2023-01-10T20:08:31Z       pequisa       80       Comunicação       Planejamento       Tô baum       Apesar de termos uma comunicação boa poderiamos planejar melhor. Por isso estou so baum,2.50%,1
2023-01-10T20:12:14Z       Advanced Support       100       Muitas entregas dentro do prazo       Mais agilidade em alguns temos do Desk       To baum dimais da conta!       Apesar das dificuldade tecnicas o time engajou muito nas causas do time,2.50%,1
2023-01-09T17:07:53Z       operações       90       Engajamento do time review       Insatisfações de clientes SLA Baixo       Tô baum       Take.team,2.50%,1
2023-01-09T17:08:16Z       Operações       70       Engajamento do time muito bom       Foco em métricas       Tô baum       Ano começou muito bom,2.50%,1
2023-01-09T17:08:44Z       Operações       8       Organização dos teach leads quanto ao Planejamento de Q1 2023       Organiização do baklog (sem lixos)       Tô baum       Sei que  a orgnaização deveria ser melhor do Backlog,2.50%,1
2023-01-09T17:08:44Z       Operações       95       planejamento       divisão de tarefas       Tô baum       foi bom. mas cabe melhoria,2.50%,1
2023-01-09T17:09:45Z       Operações       100       Lideraça de pessoas e projetos       melhora na comunicação e no direcionamento de projetos criticos       Tô baum       vem férias,2.50%,1
2023-01-09T17:12:16Z       Operações       100       Organização do trabalho.       Melhoria dos boards       Tô baum       Estamos com muitos trabalhos para essa semana relacionado ao ISO e planejamento do Q.,2.50%,1
2023-01-06T18:50:06Z       TS       85       Projetos importantes entregues e trazendo valor engajamento do time alinhamentos       Melhor planejamento do tempo muitas demandas inesperadas       To baum dimais da conta!       Take.Team,2.50%,1
2023-01-05T17:50:25Z       Moon       70       Engajamento do time.       Comunicação efetiva na transferência de ideias entre times.        To baum dimais da conta!       Apesar de um periodo de freezing na empresa e uma temporada de férias o time continuou desempenhando muito bem.,2.50%,1
2023-01-05T18:18:06Z       Moon       85       Alguns tickets apresentando uma dificuldade maior       Análise mais detalhada       Tô baum       O dia a dia mesmo,2.50%,1
2023-01-05T18:20:33Z       Squad Moon       950       Evolução de conhecimento e trststivas       Evolução dos números  e feedback dos clientes.       Tô baum       Satisfação com os resultados do time,2.50%,1
2023-01-05T19:51:53Z       Galaxy       100       União       Tempo para analises       To baum dimais da conta!       União,2.50%,1
2023-01-05T20:38:12Z       Haley       100       Pro atividade volumetria de tickets trabalho em equipe.       não sei dizer       To baum dimais da conta!       satisfação no trabalho e vida pessoal,2.50%,1
2023-01-05T23:46:23Z       Moon       65       esforço comprometimento persistência mas preciso de mais conhecimento técnico       conhecimento técnico interação em reuniões conhecimentos gerais sobre plataforma        O momentim marromeno       Ainda não estou entregando os resultados que quero e vou entregar,2.50%,1
